"xmin","xmax","x","y","colour","shape","PANEL","group","flipped_aes","order","ymin","ymax","size","linewidth","linetype","fill","alpha","stroke"
1.48227883660975,1.57310204158769,1.52769043909872,0.8125,"#434E7C",16,"1",1,TRUE,1,0.75,0.875,0.6,0.454545454545455,1,NA,NA,0.909090909090909
1.37244079506483,1.46828610801953,1.42036345154218,1.8125,"#434E7C",16,"1",5,TRUE,1,1.75,1.875,0.6,0.454545454545455,1,NA,NA,0.909090909090909
1.31050322608351,1.40292152454739,1.35671237531545,2.8125,"#434E7C",16,"1",9,TRUE,1,2.75,2.875,0.6,0.454545454545455,1,NA,NA,0.909090909090909
1.52213439996189,1.56748126606585,1.54480783301387,0.9375,"#434E7C",17,"1",2,TRUE,2,0.875,1,0.6,0.454545454545455,1,NA,NA,0.909090909090909
1.42112456547211,1.4702819706942,1.44570326808316,1.9375,"#434E7C",17,"1",6,TRUE,2,1.875,2,0.6,0.454545454545455,1,NA,NA,0.909090909090909
1.3329940930344,1.37829237768722,1.35564323536081,2.9375,"#434E7C",17,"1",10,TRUE,2,2.875,3,0.6,0.454545454545455,1,NA,NA,0.909090909090909
1.79072237023039,2.30802864698936,2.04937550860987,1.0625,"#FF8200",16,"1",3,TRUE,3,1,1.125,0.6,0.454545454545455,1,NA,NA,0.909090909090909
1.78991360516585,2.32507480112721,2.05749420314653,2.0625,"#FF8200",16,"1",7,TRUE,3,2,2.125,0.6,0.454545454545455,1,NA,NA,0.909090909090909
1.72930094961952,2.30459740086196,2.01694917524074,3.0625,"#FF8200",16,"1",11,TRUE,3,3,3.125,0.6,0.454545454545455,1,NA,NA,0.909090909090909
1.63960251337492,1.94503167019975,1.79231709178734,1.1875,"#FF8200",17,"1",4,TRUE,4,1.125,1.25,0.6,0.454545454545455,1,NA,NA,0.909090909090909
1.67025049245552,1.97985762952721,1.82505406099137,2.1875,"#FF8200",17,"1",8,TRUE,4,2.125,2.25,0.6,0.454545454545455,1,NA,NA,0.909090909090909
1.5238491185434,1.85885214046385,1.69135062950363,3.1875,"#FF8200",17,"1",12,TRUE,4,3.125,3.25,0.6,0.454545454545455,1,NA,NA,0.909090909090909
