"label","x","y","colour","PANEL","group","order","ymin","ymax","xmax","family","size","angle","hjust","vjust","alpha","fontface","lineheight"
"28%",27.5910491272561,2.0875,"#1A4AAD","1",7,3,2,2.175,27.5910491272561,"poppins",2.8,0,0.5,-1.3,NA,1,1.2
"48%",48.4727269737003,1.0875,"#1A4AAD","1",3,3,1,1.175,48.4727269737003,"poppins",2.8,0,0.5,-1.3,NA,1,1.2
"37%",37.3227900355614,2.2625,"#D71B1E","1",8,4,2.175,2.35,37.3227900355614,"poppins",2.8,0,0.5,-1.3,NA,1,1.2
"56%",56.1880170744342,1.2625,"#D71B1E","1",4,4,1.175,1.35,56.1880170744342,"poppins",2.8,0,0.5,-1.3,NA,1,1.2
"32%",31.6108777812248,1.7375,"#229A44","1",5,1,1.65,1.825,31.6108777812248,"poppins",2.8,0,0.5,-1.3,NA,1,1.2
"53%",53.4780483478763,0.7375,"#229A44","1",1,1,0.65,0.825,53.4780483478763,"poppins",2.8,0,0.5,-1.3,NA,1,1.2
"47%",46.6398330840057,1.9125,"#FF8200","1",6,2,1.825,2,46.6398330840057,"poppins",2.8,0,0.5,-1.3,NA,1,1.2
"46%",46.2340877312016,0.9125,"#FF8200","1",2,2,0.825,1,46.2340877312016,"poppins",2.8,0,0.5,-1.3,NA,1,1.2
