"label","x","y","colour","PANEL","group","order","ymin","ymax","xmax","family","size","angle","hjust","vjust","alpha","fontface","lineheight"
"27%",27.1985408313946,1.8,"#1A4AAD","1",4,1,1.7,1.9,27.1985408313946,"poppins",3,0,0.5,-1.3,NA,1,1.2
"57%",57.2464946285422,0.8,"#1A4AAD","1",1,1,0.7,0.9,57.2464946285422,"poppins",3,0,0.5,-1.3,NA,1,1.2
"34%",34.0579946837548,2,"#D71B1E","1",5,2,1.9,2.1,34.0579946837548,"poppins",3,0,0.5,-1.3,NA,1,1.2
"51%",51.0503549923022,1,"#D71B1E","1",2,2,0.9,1.1,51.0503549923022,"poppins",3,0,0.5,-1.3,NA,1,1.2
"50%",49.9172858816475,2.2,"#229A44","1",6,3,2.1,2.3,49.9172858816475,"poppins",3,0,0.5,-1.3,NA,1,1.2
"60%",60.2613570096465,1.2,"#229A44","1",3,3,1.1,1.3,60.2613570096465,"poppins",3,0,0.5,-1.3,NA,1,1.2
