"label","x","y","colour","PANEL","group","order","ymin","ymax","xmax","family","size","angle","hjust","vjust","alpha","fontface","lineheight"
"2.2",2.20530456185465,1.8,"#1A4AAD","1",4,1,1.7,1.9,2.20530456185465,"poppins",3,0,0.5,-1.3,NA,1,1.2
"2.6",2.5975764761987,0.8,"#1A4AAD","1",1,1,0.7,0.9,2.5975764761987,"poppins",3,0,0.5,-1.3,NA,1,1.2
"2.1",2.11612511806688,2,"#D71B1E","1",5,2,1.9,2.1,2.11612511806688,"poppins",3,0,0.5,-1.3,NA,1,1.2
"2.5",2.45820435848497,1,"#D71B1E","1",2,2,0.9,1.1,2.45820435848497,"poppins",3,0,0.5,-1.3,NA,1,1.2
"2.5",2.50087403414439,2.2,"#229A44","1",6,3,2.1,2.3,2.50087403414439,"poppins",3,0,0.5,-1.3,NA,1,1.2
"2.7",2.66658351555476,1.2,"#229A44","1",3,3,1.1,1.3,2.66658351555476,"poppins",3,0,0.5,-1.3,NA,1,1.2
