"model","estimate","se","ci_lo","ci_hi","p","n"
"Age + Region + Wave FE",0.442802407666395,0.0517708609297711,0.341331520244044,0.544273295088747,1.25284750456278e-17,30702
"+ Pol. interest + SM daily",0.323331670473226,0.0428336305734494,0.239377754549266,0.407285586397187,4.52368563706811e-14,30641
"+ Education + Income",0.310467825544435,0.0438900606180288,0.224443306733098,0.396492344355771,1.54032603254524e-12,30573
