"x","y","PANEL","group","colour","family","size","angle","hjust","vjust","alpha","fontface","lineheight","label"
20341,4.8,"1",-1,"grey40","poppins",2.8,0,-0.05,0.5,NA,1,1.2,"Kirk assassination
(Sept 10, 2025)"
20341,4.8,"2",-1,"grey40","poppins",2.8,0,-0.05,0.5,NA,1,1.2,"Kirk assassination
(Sept 10, 2025)"
20341,4.8,"3",-1,"grey40","poppins",2.8,0,-0.05,0.5,NA,1,1.2,"Kirk assassination
(Sept 10, 2025)"
