"x","y","colour","fill","PANEL","group","shape","size","alpha","stroke"
19905,2.4823339770999,"#434E7C","#434E7C","1",1,19,1.5,NA,0.454545454545455
19905,2.20500782021438,"#434E7C","#434E7C","2",1,19,1.5,NA,0.454545454545455
19905,2.11746337310534,"#434E7C","#434E7C","3",1,19,1.5,NA,0.454545454545455
19936,2.4981989958159,"#434E7C","#434E7C","1",1,19,1.5,NA,0.454545454545455
19936,2.20838537368236,"#434E7C","#434E7C","2",1,19,1.5,NA,0.454545454545455
19936,2.11692411641327,"#434E7C","#434E7C","3",1,19,1.5,NA,0.454545454545455
19967,2.46423391653874,"#434E7C","#434E7C","1",1,19,1.5,NA,0.454545454545455
19967,2.25214063916388,"#434E7C","#434E7C","2",1,19,1.5,NA,0.454545454545455
19967,2.15231622359692,"#434E7C","#434E7C","3",1,19,1.5,NA,0.454545454545455
19997,2.42189435608729,"#434E7C","#434E7C","1",1,19,1.5,NA,0.454545454545455
19997,2.13182888941844,"#434E7C","#434E7C","2",1,19,1.5,NA,0.454545454545455
19997,2.05281568581972,"#434E7C","#434E7C","3",1,19,1.5,NA,0.454545454545455
20028,2.46984662041033,"#434E7C","#434E7C","1",1,19,1.5,NA,0.454545454545455
20028,2.21615627801786,"#434E7C","#434E7C","2",1,19,1.5,NA,0.454545454545455
20028,2.0973624448455,"#434E7C","#434E7C","3",1,19,1.5,NA,0.454545454545455
20058,2.54936903842148,"#434E7C","#434E7C","1",1,19,1.5,NA,0.454545454545455
20058,2.21928100781579,"#434E7C","#434E7C","2",1,19,1.5,NA,0.454545454545455
20058,2.10861627490718,"#434E7C","#434E7C","3",1,19,1.5,NA,0.454545454545455
20089,2.47321441825903,"#434E7C","#434E7C","1",1,19,1.5,NA,0.454545454545455
20089,2.14705304851312,"#434E7C","#434E7C","2",1,19,1.5,NA,0.454545454545455
20089,2.09179453600688,"#434E7C","#434E7C","3",1,19,1.5,NA,0.454545454545455
20120,2.52928359020308,"#434E7C","#434E7C","1",1,19,1.5,NA,0.454545454545455
20120,2.21221256730237,"#434E7C","#434E7C","2",1,19,1.5,NA,0.454545454545455
20120,2.12568007517646,"#434E7C","#434E7C","3",1,19,1.5,NA,0.454545454545455
20240,2.48203605282514,"#434E7C","#434E7C","1",1,19,1.5,NA,0.454545454545455
20240,2.22307814701,"#434E7C","#434E7C","2",1,19,1.5,NA,0.454545454545455
20240,2.1601963973913,"#434E7C","#434E7C","3",1,19,1.5,NA,0.454545454545455
20270,2.5276007249363,"#434E7C","#434E7C","1",1,19,1.5,NA,0.454545454545455
20270,2.21686312034852,"#434E7C","#434E7C","2",1,19,1.5,NA,0.454545454545455
20270,2.10509294979327,"#434E7C","#434E7C","3",1,19,1.5,NA,0.454545454545455
20301,2.53093928417422,"#434E7C","#434E7C","1",1,19,1.5,NA,0.454545454545455
20301,2.23232591266075,"#434E7C","#434E7C","2",1,19,1.5,NA,0.454545454545455
20301,2.12402733393084,"#434E7C","#434E7C","3",1,19,1.5,NA,0.454545454545455
20332,2.44396011894346,"#434E7C","#434E7C","1",1,19,1.5,NA,0.454545454545455
20332,2.18830963276285,"#434E7C","#434E7C","2",1,19,1.5,NA,0.454545454545455
20332,2.10540938298933,"#434E7C","#434E7C","3",1,19,1.5,NA,0.454545454545455
20362,2.41852875769669,"#434E7C","#434E7C","1",1,19,1.5,NA,0.454545454545455
20362,2.11624125579911,"#434E7C","#434E7C","2",1,19,1.5,NA,0.454545454545455
20362,2.01813963219667,"#434E7C","#434E7C","3",1,19,1.5,NA,0.454545454545455
20393,2.40324945833175,"#434E7C","#434E7C","1",1,19,1.5,NA,0.454545454545455
20393,2.14432361079439,"#434E7C","#434E7C","2",1,19,1.5,NA,0.454545454545455
20393,2.07016445080054,"#434E7C","#434E7C","3",1,19,1.5,NA,0.454545454545455
20454,2.39333868278163,"#434E7C","#434E7C","1",1,19,1.5,NA,0.454545454545455
20454,2.09091510638443,"#434E7C","#434E7C","2",1,19,1.5,NA,0.454545454545455
20454,2.0195961532252,"#434E7C","#434E7C","3",1,19,1.5,NA,0.454545454545455
20485,2.47216673738887,"#434E7C","#434E7C","1",1,19,1.5,NA,0.454545454545455
20485,2.13694241247343,"#434E7C","#434E7C","2",1,19,1.5,NA,0.454545454545455
20485,2.03558478082448,"#434E7C","#434E7C","3",1,19,1.5,NA,0.454545454545455
NA,2.54797947804871,"#434E7C","#434E7C","1",1,19,1.5,NA,0.454545454545455
NA,2.19788272415925,"#434E7C","#434E7C","2",1,19,1.5,NA,0.454545454545455
NA,2.10335889419332,"#434E7C","#434E7C","3",1,19,1.5,NA,0.454545454545455
19905,2.84892064156022,"#FF8200","#FF8200","1",2,19,1.5,NA,0.454545454545455
19905,2.54468227742285,"#FF8200","#FF8200","2",2,19,1.5,NA,0.454545454545455
19905,2.09683528628218,"#FF8200","#FF8200","3",2,19,1.5,NA,0.454545454545455
19936,2.66407903812651,"#FF8200","#FF8200","1",2,19,1.5,NA,0.454545454545455
19936,2.64489942000207,"#FF8200","#FF8200","2",2,19,1.5,NA,0.454545454545455
19936,2.53718598457829,"#FF8200","#FF8200","3",2,19,1.5,NA,0.454545454545455
19967,2.70921349191109,"#FF8200","#FF8200","1",2,19,1.5,NA,0.454545454545455
19967,2.66674965997403,"#FF8200","#FF8200","2",2,19,1.5,NA,0.454545454545455
19967,2.71832401051266,"#FF8200","#FF8200","3",2,19,1.5,NA,0.454545454545455
19997,3.01628838529586,"#FF8200","#FF8200","1",2,19,1.5,NA,0.454545454545455
19997,2.95327900337439,"#FF8200","#FF8200","2",2,19,1.5,NA,0.454545454545455
19997,2.8171647728518,"#FF8200","#FF8200","3",2,19,1.5,NA,0.454545454545455
20028,2.96587482452276,"#FF8200","#FF8200","1",2,19,1.5,NA,0.454545454545455
20028,2.58122018680177,"#FF8200","#FF8200","2",2,19,1.5,NA,0.454545454545455
20028,2.31263933986235,"#FF8200","#FF8200","3",2,19,1.5,NA,0.454545454545455
20058,2.90489007770384,"#FF8200","#FF8200","1",2,19,1.5,NA,0.454545454545455
20058,2.95375994327649,"#FF8200","#FF8200","2",2,19,1.5,NA,0.454545454545455
20058,2.65502122929364,"#FF8200","#FF8200","3",2,19,1.5,NA,0.454545454545455
20089,2.68833554997503,"#FF8200","#FF8200","1",2,19,1.5,NA,0.454545454545455
20089,2.69825446526959,"#FF8200","#FF8200","2",2,19,1.5,NA,0.454545454545455
20089,2.95282762924629,"#FF8200","#FF8200","3",2,19,1.5,NA,0.454545454545455
20120,2.60171306527275,"#FF8200","#FF8200","1",2,19,1.5,NA,0.454545454545455
20120,2.33720045432938,"#FF8200","#FF8200","2",2,19,1.5,NA,0.454545454545455
20120,1.9756960697784,"#FF8200","#FF8200","3",2,19,1.5,NA,0.454545454545455
20240,2.59126073969928,"#FF8200","#FF8200","1",2,19,1.5,NA,0.454545454545455
20240,2.71615786720548,"#FF8200","#FF8200","2",2,19,1.5,NA,0.454545454545455
20240,2.25775826649434,"#FF8200","#FF8200","3",2,19,1.5,NA,0.454545454545455
20270,2.65815995639646,"#FF8200","#FF8200","1",2,19,1.5,NA,0.454545454545455
20270,2.79936763732517,"#FF8200","#FF8200","2",2,19,1.5,NA,0.454545454545455
20270,2.63487357634843,"#FF8200","#FF8200","3",2,19,1.5,NA,0.454545454545455
20301,3.3148891362444,"#FF8200","#FF8200","1",2,19,1.5,NA,0.454545454545455
20301,3.04005862607178,"#FF8200","#FF8200","2",2,19,1.5,NA,0.454545454545455
20301,2.95693788907849,"#FF8200","#FF8200","3",2,19,1.5,NA,0.454545454545455
20332,2.4348493562795,"#FF8200","#FF8200","1",2,19,1.5,NA,0.454545454545455
20332,2.38011991724318,"#FF8200","#FF8200","2",2,19,1.5,NA,0.454545454545455
20332,2.61893014265742,"#FF8200","#FF8200","3",2,19,1.5,NA,0.454545454545455
20362,3.05984358140352,"#FF8200","#FF8200","1",2,19,1.5,NA,0.454545454545455
20362,2.93832854343229,"#FF8200","#FF8200","2",2,19,1.5,NA,0.454545454545455
20362,3.06683163453197,"#FF8200","#FF8200","3",2,19,1.5,NA,0.454545454545455
20393,3.09886256373236,"#FF8200","#FF8200","1",2,19,1.5,NA,0.454545454545455
20393,3.02335069882387,"#FF8200","#FF8200","2",2,19,1.5,NA,0.454545454545455
20393,2.7382766543839,"#FF8200","#FF8200","3",2,19,1.5,NA,0.454545454545455
20454,2.79828780541332,"#FF8200","#FF8200","1",2,19,1.5,NA,0.454545454545455
20454,2.67092091723538,"#FF8200","#FF8200","2",2,19,1.5,NA,0.454545454545455
20454,2.70212738583032,"#FF8200","#FF8200","3",2,19,1.5,NA,0.454545454545455
20485,2.69075205896732,"#FF8200","#FF8200","1",2,19,1.5,NA,0.454545454545455
20485,2.5439393024161,"#FF8200","#FF8200","2",2,19,1.5,NA,0.454545454545455
