"x","y","colour","PANEL","group","flipped_aes","linewidth","linetype","alpha"
19905,0,"#FF8200","1",1,FALSE,0.8,1,NA
19936,0,"#FF8200","1",1,FALSE,0.8,1,NA
19967,0,"#FF8200","1",1,FALSE,0.8,1,NA
19997,0,"#FF8200","1",1,FALSE,0.8,1,NA
20028,0,"#FF8200","1",1,FALSE,0.8,1,NA
20058,0,"#FF8200","1",1,FALSE,0.8,1,NA
20089,0,"#FF8200","1",1,FALSE,0.8,1,NA
20120,0,"#FF8200","1",1,FALSE,0.8,1,NA
20240,0,"#FF8200","1",1,FALSE,0.8,1,NA
20270,0,"#FF8200","1",1,FALSE,0.8,1,NA
20301,0,"#FF8200","1",1,FALSE,0.8,1,NA
20332,0,"#FF8200","1",1,FALSE,0.8,1,NA
20362,0,"#FF8200","1",1,FALSE,0.8,1,NA
20393,0,"#FF8200","1",1,FALSE,0.8,1,NA
20454,0,"#FF8200","1",1,FALSE,0.8,1,NA
20485,0,"#FF8200","1",1,FALSE,0.8,1,NA
NA,0,"#FF8200","1",1,FALSE,0.8,1,NA
NA,0,"#FF8200","1",1,FALSE,0.8,1,NA
NA,0,"#FF8200","1",1,FALSE,0.8,1,NA
19905,14,"#434E7C","1",2,FALSE,0.8,1,NA
19936,17,"#434E7C","1",2,FALSE,0.8,1,NA
19967,12,"#434E7C","1",2,FALSE,0.8,1,NA
19997,23,"#434E7C","1",2,FALSE,0.8,1,NA
20028,12,"#434E7C","1",2,FALSE,0.8,1,NA
20058,18,"#434E7C","1",2,FALSE,0.8,1,NA
20089,16,"#434E7C","1",2,FALSE,0.8,1,NA
20120,11,"#434E7C","1",2,FALSE,0.8,1,NA
20240,16,"#434E7C","1",2,FALSE,0.8,1,NA
20270,14,"#434E7C","1",2,FALSE,0.8,1,NA
20301,8,"#434E7C","1",2,FALSE,0.8,1,NA
20332,17,"#434E7C","1",2,FALSE,0.8,1,NA
20362,15,"#434E7C","1",2,FALSE,0.8,1,NA
20393,20,"#434E7C","1",2,FALSE,0.8,1,NA
20454,27,"#434E7C","1",2,FALSE,0.8,1,NA
20485,10,"#434E7C","1",2,FALSE,0.8,1,NA
NA,17,"#434E7C","1",2,FALSE,0.8,1,NA
NA,0,"#434E7C","1",2,FALSE,0.8,1,NA
NA,70,"#434E7C","1",2,FALSE,0.8,1,NA
